Percentile,Sparsity,Accuracy
0,0%,0.6142786316311354
10,9.97%,0.6227069905800694
15,14.96%,0.6043629152206247
20,19.94%,0.5949429846306395
25,24.94%,0.5830441249380268
30,29.91%,0.5483391175012394
40,39.91%,0.5389191869112543
50,49.90%,0.37183936539414975
